ID,Species,Weight,Length,Height,Width
52,Perch,145,22,6.375,3.825
53,Roach,150,20.4,5.8045,3.7544
54,Parkki,150,18.4,8.8928,3.2928
55,Perch,150,20.5,6.792,3.624
56,Perch,150,21,5.2185,3.626
57,Roach,160,20.5,7.0334,3.8203
58,Roach,160,21.1,6.4,3.8
59,Roach,161,22,6.9153,3.6312
60,Roach,169,22,7.5344,3.8352
61,Parkki,170,19,9.396,3.4104
62,Perch,170,21.5,6.275,3.725
63,Roach,180,23.6,7.0866,3.906
64,Perch,180,23,6.4395,3.6835
65,Perch,188,22.6,6.7334,4.1658
66,Perch,197,23.5,6.561,4.239
67,Roach,200,22.1,7.3968,4.1272
68,Parkki,200,21.2,10.3458,3.6636
69,Pike,200,30,5.568,3.3756
70,Perch,218,25,7.168,4.144
71,Perch,225,22,7.293,3.723
72,Bream,242,23.2,11.52,4.02
73,Perch,250,25.4,7.2828,4.5662
74,Perch,250,25.9,7.8204,4.2042
75,Perch,260,25.4,7.1672,4.335
76,Perch,265,25.4,7.0516,4.335
77,Whitefish,270,23.6,8.3804,4.2476
78,Whitefish,270,24.1,8.1454,4.2485
79,Roach,272,25,8.568,4.7736
80,Parkki,273,23,11.088,4.144
81,Bream,290,24,12.48,4.3056
82,Roach,290,24,8.8768,4.4968
83,Parkki,300,24,11.368,4.234
84,Perch,300,25.2,8.323,5.1373
85,Perch,300,26.9,7.5852,4.6354
86,Pike,300,31.7,5.7078,4.158
87,Pike,300,32.7,5.9364,4.3844
88,Pike,300,34.8,6.2884,4.0198
89,Whitefish,306,25.6,8.778,4.6816
90,Perch,320,27.8,7.6156,4.7716
91,Bream,340,23.9,12.3778,4.6961
92,Bream,340,29.5,13.9129,5.0728
93,Pike,345,36,6.396,3.977
94,Bream,363,26.3,12.73,4.4555
95,Bream,390,27.6,12.67,4.69
96,Roach,390,29.5,9.485,5.355
97,Bream,430,26.5,12.444,5.134
98,Pike,430,35.5,7.29,4.5765
99,Bream,450,26.8,13.6024,4.9274
100,Bream,450,27.6,14.0049,4.8438
101,Pike,456,40,7.28,4.3225
102,Bream,475,28.4,14.2628,5.1042
103,Bream,500,26.8,14.1795,5.2785
104,Bream,500,28.5,14.2266,4.9594
105,Bream,500,28.7,14.3714,4.8146
106,Bream,500,29.1,13.7592,4.368
107,Pike,500,42,6.96,4.896
108,Pike,510,40,6.825,4.459
109,Perch,514,30.5,10.03,6.018
110,Whitefish,540,28.5,10.744,6.562
111,Pike,540,40.1,7.786,5.1296
112,Perch,556,32,10.2565,6.3875
113,Pike,567,43.2,7.792,4.87
114,Bream,575,31.3,15.1285,5.5695
115,Bream,600,29.4,14.9544,5.1708
116,Bream,600,29.4,15.438,5.58
117,Bream,610,30.9,15.633,5.1338
118,Bream,620,31.5,15.5227,5.2801
119,Bream,650,31,14.4738,5.7276
120,Perch,650,36.5,11.1366,6.003
121,Bream,680,31.8,15.4686,6.1306
122,Bream,685,31.4,15.9936,5.3704
123,Perch,685,34,10.881,6.864
124,Perch,690,34.6,10.5717,6.3666
125,Bream,700,30.4,14.8604,5.2854
126,Bream,700,30.4,14.938,5.1975
127,Bream,700,31.9,16.2405,5.589
128,Perch,700,34,10.6091,6.7408
129,Perch,700,34.5,10.835,6.2646
130,Bream,714,32.7,16.517,5.8515
131,Bream,720,32,16.3618,6.09
132,Bream,725,31.8,16.36,6.0532
133,Pike,770,44.8,7.68,5.376
134,Whitefish,800,33.7,11.7612,6.5736
135,Perch,820,36.6,12.4313,7.3514
136,Perch,820,37.1,11.135,6.63
137,Perch,840,32.5,11.4884,7.7957
138,Bream,850,32.8,16.8896,6.1984
139,Perch,850,36.9,11.9286,7.1064
140,Perch,900,36.5,11.1366,7.4934
141,Perch,900,37,11.73,7.225
142,Bream,920,35,18.0369,6.3063
143,Bream,925,36.2,18.7542,6.7497
144,Bream,950,38,17.6235,6.3705
145,Pike,950,48.3,8.9262,6.1712
146,Bream,955,35,18.084,6.292
147,Bream,975,37.4,18.6354,6.7473
148,Bream,1000,33.5,18.957,6.603
149,Whitefish,1000,37.3,12.354,6.525
150,Perch,1000,39.8,11.9328,7.2772
151,Perch,1000,40.2,12.604,8.142
152,Perch,1000,41.1,12.4888,7.5958
153,Perch,1015,37,12.3808,7.4624
154,Perch,1100,39,12.8002,6.8684
155,Perch,1100,40.1,12.5125,7.4165
156,Pike,1250,52,10.6863,6.9849
157,Pike,1550,56,9.6,6.144
158,Pike,1600,56,9.6,6.144
159,Pike,1650,59,10.812,7.48
